R_age,B_age,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_TD_pct,B_avg_TD_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,weight_class,Winner,age_diff,height_diff,reach_diff,strike_acc_diff,td_acc_diff,sub_att_diff
24.0,30.0,172.72,170.18,182.88,180.34,0.595,0.18,0.5,0.0,1.0,0.0,Flyweight,Red,-6.0,2.539999999999992,2.539999999999992,0.415,0.5,1.0
26.0,28.0,170.18,175.26,177.8,172.72,0.373828125,0.51,0.16890625,0.5,0.046875,1.5,Flyweight,Red,-2.0,-5.079999999999984,5.0800000000000125,-0.136171875,-0.33109374999999996,-1.453125
26.0,28.0,170.18,175.26,177.8,172.72,0.373828125,0.51,0.16890625,0.5,0.046875,1.5,Flyweight,Red,-2.0,-5.079999999999984,5.0800000000000125,-0.136171875,-0.33109374999999996,-1.453125
26.0,29.0,177.8,187.96,193.04,195.58,0.315,1.0,0.25,0.0,0.0,0.0,Middleweight,Red,-3.0,-10.159999999999997,-2.5400000000000205,-0.685,0.25,0.0
32.0,28.0,165.1,167.64,172.72,165.1,0.70390625,0.41515625,0.3104296875,0.39140625,2.43359375,0.296875,Flyweight,Red,4.0,-2.539999999999992,7.6200000000000045,0.28874999999999995,-0.08097656250000002,2.13671875
38.0,32.0,185.42,190.5,193.04,193.04,0.4723441886901856,0.46884765625,0.4324080944061279,0.1991015625,0.0003070831298828,0.951171875,LightHeavyweight,Blue,6.0,-5.0800000000000125,0.0,0.0034965324401855513,0.23330653190612788,-0.9508647918701172
29.0,36.0,177.8,187.96,180.34,190.5,0.5457373046875,0.5353571557998658,0.547421875,0.3422999954223633,0.0,0.1250648498535156,Welterweight,Blue,-7.0,-10.159999999999997,-10.159999999999997,0.010380148887634277,0.20512187957763667,-0.1250648498535156
33.0,36.0,185.42,180.34,187.96,187.96,0.455,0.370625,0.25,0.096875,0.25,0.0,Welterweight,Blue,-3.0,5.079999999999984,0.0,0.08437500000000003,0.153125,0.25
29.0,29.0,170.18,165.1,182.88,175.26,0.495,0.59,0.47,0.71,0.0,0.0,Bantamweight,Blue,0.0,5.0800000000000125,7.6200000000000045,-0.09499999999999997,-0.24,0.0
30.0,25.0,180.34,187.96,182.88,198.12,0.30767578125,0.0,0.0,0.0,0.173828125,0.0,Welterweight,Red,5.0,-7.6200000000000045,-15.240000000000009,0.30767578125,0.0,0.173828125
35.0,26.0,177.8,182.88,185.42,195.58,0.5340625,0.58,0.145625,0.0,0.0,0.0,Welterweight,Blue,9.0,-5.079999999999984,-10.160000000000025,-0.045937499999999964,0.145625,0.0
